Место,Название компании,Регион,Отрасль,Итоговый балл,kind
97,Курорт Красная поляна,Краснодарский край,"Ресторанные сети, гостиницы",103.67,Крупные
98,ТБМ,Московская область,"Оптовые продажи, дилеры, дистрибьюторы",103.66,Крупные
99,ТД Нефтьмагистраль,Москва,Розничные сети,103.66,Крупные
100,ВТБ Лизинг,Москва,"Финансы, страхование, аудит",103.63,Крупные
101,OCS Distribution,Москва,IT и интернет,103.63,Крупные
102,Next Contact,Москва,"Телекоммуникации, связь",103.62,Крупные
103,АСТОН,Ростовская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",103.53,Крупные
104,"RFP Group (Дальлеспром, Амурская лесопромышленная компания, РФП Лесозаготовка)",Хабаровский край,"Промышленное производство (непищевое), торгово-производственные компании",103.47,Крупные
105,УК Zeppelin,Москва,Строительство и недвижимость,103.46,Крупные
106,CallTraffic,Москва,"Телекоммуникации, связь",103.46,Крупные
107,Торговая Сеть ТЕХНОНИКОЛЬ,Москва,Строительство и недвижимость,103.44,Крупные
108,"""СИГМА""",Москва,IT и интернет,103.4,Крупные
109,TR-Project,Краснодарский край,"Маркетинг, реклама, издательский бизнес",103.37,Крупные
110,ЦЕХ85 family,Санкт-Петербург,Розничные сети,103.34,Крупные
111,"Группа компаний ""ОСНОВА""",Москва,Строительство и недвижимость,103.34,Крупные
112,Avilon Group,Москва,"Транспорт, логистика, автодилеры",103.32,Крупные
113,Major Logistics,Московская область,"Транспорт, логистика, автодилеры",103.32,Крупные
114,Инфосистемы Джет,Москва,IT и интернет,103.27,Крупные
115,"НСПК (Платежная система ""Мир"", Система быстрых платежей)",Москва,IT и интернет,103.15,Крупные
116,Уралэнергосбыт,Челябинская область,"Энергетика, добыча и переработка сырья",103.14,Крупные
117,Миэль,Москва,Строительство и недвижимость,103.04,Крупные
118,IT_One,Москва,IT и интернет,103.0,Крупные
119,СберЗдоровье,Москва,IT и интернет,102.88,Крупные
120,IDF Eurasia,Москва,"Финансы, страхование, аудит",102.86,Крупные
121,Кантата,Москва,Розничные сети,102.69,Крупные
122,"Москабельмет, МКМ",Москва,"Промышленное производство (непищевое), торгово-производственные компании",102.61,Крупные
123,Generium,Москва,Фармацевтика и медицина,102.61,Крупные
124,Лига Ставок,Москва,IT и интернет,102.48,Крупные
125,Самарский металлургический завод,Самарская область,"Промышленное производство (непищевое), торгово-производственные компании",102.33,Крупные
126,Эконика,Москва,Розничные сети,102.27,Крупные
127,ПГК (Первая грузовая компания),Москва,"Транспорт, логистика, автодилеры",102.25,Крупные
128,Триколор,Санкт-Петербург,"Телекоммуникации, связь",102.24,Крупные
129,SV-Мебель,Пензенская область,"Промышленное производство (непищевое), торгово-производственные компании",102.2,Крупные
130,DDA REAL ESTATE,Челябинская область,Строительство и недвижимость,102.03,Крупные
131,AKKERMANN CEMENT,Оренбургская область,Строительство и недвижимость,101.99,Крупные
132,Гармония Здоровья,Красноярский край,Фармацевтика и медицина,101.98,Крупные
133,Бизнес Юрист,Челябинская область,Услуги для населения,101.91,Крупные
134,НИПИГОРМАШ,Свердловская область,"Промышленное производство (непищевое), торгово-производственные компании",101.85,Крупные
135,Тольяттиазот,Самарская область,"Промышленное производство (непищевое), торгово-производственные компании",101.84,Крупные
136,Голос.Девелопмент,Челябинская область,Строительство и недвижимость,101.72,Крупные
137,Цифра,Москва,"Финансы, страхование, аудит",101.68,Крупные
138,Эй Кей х KFC,Москва,"Ресторанные сети, гостиницы",101.64,Крупные
139,ГЕРОФАРМ,Санкт-Петербург,Фармацевтика и медицина,101.61,Крупные
140,Binnopharm Group,Москва,Фармацевтика и медицина,101.58,Крупные
141,"Inventive Retail Group (re:Store, Samsung, Xiaomi, Street Beat, Hiker, Мир Кубиков, UNOde50, Brandly)",Москва,Розничные сети,101.53,Крупные
142,IEK GROUP,Москва,"Промышленное производство (непищевое), торгово-производственные компании",101.49,Крупные
143,Востсибнефтегаз,Красноярский край,"Энергетика, добыча и переработка сырья",101.49,Крупные
144,Материа Медика Холдинг,Москва,Фармацевтика и медицина,101.43,Крупные
